TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
188,3.0,7.0,8.0,7.0,3,12
193,8.0,7.0,7.0,4.0,0,13
198,8.0,2.0,7.0,4.0,2,13
204,2.0,2.0,7.0,4.0,1,13
207,2.0,5.0,7.0,4.0,3,13
212,7.0,5.0,7.0,4.0,0,13
215,7.0,2.0,4.0,1.0,2,14
218,4.0,2.0,4.0,1.0,0,14
220,4.0,0.0,8.0,3.0,-1,15
-1,4.0,1.0,3.0,6.0,-1,0
1,5.0,1.0,3.0,6.0,1,0
6,5.0,6.0,3.0,6.0,2,0
8,3.0,6.0,5.0,4.0,0,1
12,3.0,2.0,5.0,4.0,3,1
16,7.0,2.0,5.0,4.0,1,1
17,7.0,3.0,5.0,4.0,2,1
23,1.0,3.0,5.0,4.0,1,1
24,1.0,4.0,5.0,4.0,3,1
29,6.0,4.0,3.0,8.0,1,2
32,6.0,7.0,3.0,8.0,2,2
37,1.0,7.0,3.0,8.0,1,2
38,1.0,8.0,3.0,8.0,3,2
44,7.0,8.0,2.0,4.0,0,3
48,7.0,4.0,2.0,4.0,2,3
53,2.0,4.0,4.0,2.0,0,4
56,2.0,1.0,4.0,2.0,3,4
59,5.0,1.0,4.0,2.0,1,4
65,5.0,7.0,4.0,2.0,2,4
66,4.0,7.0,4.0,2.0,0,4
71,4.0,2.0,6.0,8.0,3,5
73,6.0,2.0,6.0,8.0,1,5
79,6.0,8.0,4.0,4.0,2,6
81,4.0,8.0,4.0,4.0,0,6
86,4.0,3.0,3.0,4.0,3,7
89,7.0,3.0,3.0,4.0,1,7
92,7.0,6.0,3.0,4.0,2,7
96,3.0,6.0,3.0,4.0,0,7
99,3.0,3.0,1.0,6.0,3,8
102,6.0,3.0,1.0,6.0,1,8
106,6.0,7.0,1.0,6.0,2,8
111,1.0,7.0,1.0,6.0,0,8
112,1.0,6.0,4.0,5.0,3,9
117,6.0,6.0,4.0,5.0,0,9
119,6.0,4.0,4.0,5.0,2,9
125,0.0,4.0,4.0,5.0,-1,9
-1,4.0,3.0,7.0,7.0,-1,0
1,5.0,3.0,7.0,7.0,1,0
5,5.0,7.0,7.0,7.0,3,0
8,8.0,7.0,4.0,8.0,0,1
10,8.0,5.0,4.0,8.0,2,1
17,1.0,5.0,4.0,8.0,1,1
19,1.0,7.0,4.0,8.0,3,1
25,7.0,7.0,4.0,8.0,1,1
26,7.0,8.0,4.0,8.0,2,1
31,2.0,8.0,2.0,6.0,0,2
34,2.0,5.0,8.0,6.0,3,3
40,8.0,5.0,8.0,6.0,1,3
42,8.0,7.0,1.0,3.0,2,4
49,1.0,7.0,1.0,3.0,0,4
54,1.0,2.0,7.0,3.0,3,5
60,7.0,2.0,7.0,3.0,1,5
